bigg_reaction_id	bigg_reaction_name	bigg_reaction_string
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	2tdecg3p_p <-> 2tdecg3p_c
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	2odecg3p_p <-> 2odecg3p_c
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	2odec11eg3p_p <-> 2odec11eg3p_c
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpe140_p <-> 2agpe140_c
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpe141_p <-> 2agpe141_c
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	2agpe141_c + atp_c + ttdcea_c <-> amp_c + pe141_c + ppi_c
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpg160_p <-> 2agpg160_c
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpg161_p <-> 2agpg161_c
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpg180_p <-> 2agpg180_c
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpg181_p <-> 2agpg181_c
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	2agpg120_c + atp_c + ddca_c <-> amp_c + pg120_c + ppi_c
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	2agpg141_c + atp_c + ttdcea_c <-> amp_c + pg141_c + ppi_c
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	2agpg160_c + atp_c + hdca_c <-> amp_c + pg160_c + ppi_c
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	2agpg180_c + atp_c + ocdca_c <-> amp_c + pg180_c + ppi_c
2DGULRGx	2-Dehydro-L-gulonate reductase to gluconate (NADH)	2dhguln_c + h_c + nadh_c <-> glcn_c + nad_c
2DGULRx	2-dehydro-L-gulonate reductase (NADH)	2dhguln_c + h_c + nadh_c <-> idon__L_c + nad_c
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	2mahmp_c + h2o_c <-> 4ampm_c + h_c + pi_c
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	3amp_e <-> 3amp_p
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)	3gmp_e <-> 3gmp_p
3HAD121	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	3hcddec5eACP_c <-> h2o_c + t3c5ddeceACP_c
3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	3hpalmACP_c <-> h2o_c + tpalm2eACP_c
3HAD161	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	3hcpalm9eACP_c <-> h2o_c + t3c9palmeACP_c
3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	3hoctaACP_c <-> h2o_c + toctd2eACP_c
3HAD80	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	3hoctACP_c <-> h2o_c + toct2eACP_c
3HPPtex	3-hydroxypropionate transport via diffusion (extracellular to periplasm)	3hpp_e <-> 3hpp_p
3HPPtpp	3-hydroxypropionate transport via proton symport (periplasm)	3hpp_c + h_c <-> 3hpp_p + h_p
3KGK	3-keto-L-gulonate kinase	3dhguln_c + atp_c <-> 3dhgulnp_c + adp_c + h_c
3NTD2pp	3'-nucleotidase (UMP) (periplasm)	3ump_p + h2o_p <-> pi_p + uri_p
3NTD9pp	3'-nucleotidase (GMP) (periplasm)	3gmp_p + h2o_p <-> gsn_p + pi_p
3OAR120	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	3oddecACP_c + h_c + nadph_c <-> 3hddecACP_c + nadp_c
3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	3ocddec5eACP_c + h_c + nadph_c <-> 3hcddec5eACP_c + nadp_c
3OAR141	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	3ocmrs7eACP_c + h_c + nadph_c <-> 3hcmrs7eACP_c + nadp_c
3OAR160	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	3opalmACP_c + h_c + nadph_c <-> 3hpalmACP_c + nadp_c
3OAR161	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	3ocpalm9eACP_c + h_c + nadph_c <-> 3hcpalm9eACP_c + nadp_c
3OAR180	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	3ooctdACP_c + h_c + nadph_c <-> 3hoctaACP_c + nadp_c
3OAS100	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	h_c + malACP_c + ocACP_c <-> 3odecACP_c + ACP_c + co2_c
3OAS120	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	dcaACP_c + h_c + malACP_c <-> 3oddecACP_c + ACP_c + co2_c
3OAS140	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	ddcaACP_c + h_c + malACP_c <-> 3omrsACP_c + ACP_c + co2_c
3OAS161	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	h_c + malACP_c + tdeACP_c <-> 3ocpalm9eACP_c + ACP_c + co2_c
3OAS60	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	butACP_c + h_c + malACP_c <-> 3ohexACP_c + ACP_c + co2_c
3PEPTabcpp	Tripeptide (LalaDgluMdap) transport via ABC system (periplasm)	atp_c + h2o_c + LalaDgluMdap_p <-> LalaDgluMdap_c + adp_c + h_c + pi_c
3UMPtex	3UMP transport via diffusion (extracellular to periplasm)	3ump_e <-> 3ump_p
4HTHRS	4-Hydroxy-L-threonine synthase	h2o_c + phthr_c <-> 4hthr_c + pi_c
5DGLCNt2rpp	5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)	5dglcn_p + h_p <-> 5dglcn_c + h_c
5DOAN	5'-deoxyadenosine nuclosidase	dad_5_c + h2o_c <-> 5drib_c + ade_c
5MTRtex	5-Methylthio-D-ribose transport via proton diffusion (extracellular to periplasm)	5mtr_e <-> 5mtr_p
5MTRtpp	5-Methylthio-D-ribose transport via proton symport (periplasm)	5mtr_c + h_c <-> 5mtr_p + h_p
A5PISO	Arabinose-5-phosphate isomerase	ru5p__D_c <-> ara5p_c
AACPS5	Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	ACP_c + atp_c + ocdcea_c <-> amp_c + octeACP_c + ppi_c
AACPS6	Acyl-[acyl-carrier-protein] synthetase  (n-C18:0)	ACP_c + atp_c + ocdca_c <-> amp_c + ocdcaACP_c + ppi_c
AACPS9	Acyl-[acyl-carrier-protein] synthetase  (n-C8:0)	ACP_c + atp_c + octa_c <-> amp_c + ocACP_c + ppi_c
AAMYLpp	Alpha-amylase (periplasm)	14glucan_p <-> malthx_p
ABTA	4-aminobutyrate transaminase	4abut_c + akg_c <-> glu__L_c + sucsal_c
ABUTt2pp	4-aminobutyrate transport in via proton symport (periplasm)	4abut_p + h_p <-> 4abut_c + h_c
ACACT2r	Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r)	accoa_c + btcoa_c <-> 3ohcoa_c + coa_c
ACACT3r	Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r)	accoa_c + hxcoa_c <-> 3oocoa_c + coa_c
ACACT4r	Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)	accoa_c + occoa_c <-> 3odcoa_c + coa_c
ACACT5r	Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)	accoa_c + dcacoa_c <-> 3oddcoa_c + coa_c
ACACtex	Acetoacetate transport via diffusion (extracellular to periplasm)	acac_e <-> acac_p
ACALDtex	Acetaldehyde transport via diffusion (extracellular to periplasm)	acald_e <-> acald_p
ACALDtpp	Acetaldehyde reversible transport (periplasm)	acald_p <-> acald_c
ACBIPGT	Adenosyl cobinamide phosphate guanyltransferase	adocbip_c + gtp_c + h_c <-> agdpcbi_c + ppi_c
ACCOAL	Acetate-CoA ligase (ADP-forming)	atp_c + coa_c + ppa_c <-> adp_c + pi_c + ppcoa_c
ACGAM1PPpp	N-acetyl-D-glucosamine 1-phosphatase (periplasm)	acgam1p_p + h2o_p <-> acgam_p + pi_p
ACGAptspp	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)	pep_c + acgam_p <-> acgam6p_c + pyr_c
ACGAtex	N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	acgam_e <-> acgam_p
ACGS	N-acetylglutamate synthase	accoa_c + glu__L_c <-> acglu_c + coa_c + h_c
ACLS	Acetolactate synthase	h_c + 2.0 pyr_c <-> alac__S_c + co2_c
ACMAMUT	UDP-N-acetyl-D-mannosaminuronic acid transferase	uacmamu_c + unaga_c <-> h_c + udp_c + unagamu_c
ACMANAtex	N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm)	acmana_e <-> acmana_p
ACMUMtex	N-acetylmuramate transport via diffusion (extracellular to periplasm)	acmum_e <-> acmum_p
ACNAMt2pp	N-acetylneuraminate proton symport (periplasm)	acnam_p + h_p <-> acnam_c + h_c
ACNML	N-Acetylneuraminate lyase	acnam_c <-> acmana_c + pyr_c
ACOAD1f	Acyl-CoA dehydrogenase (butanoyl-CoA)	btcoa_c + fad_c <-> b2coa_c + fadh2_c
ACOAD5f	Acyl-CoA dehydrogenase (dodecanoyl-CoA)	ddcacoa_c + fad_c <-> dd2coa_c + fadh2_c
ACOAD7f	Acyl-CoA dehydrogenase (hexadecanoyl-CoA)	fad_c + pmtcoa_c <-> fadh2_c + hdd2coa_c
ACOAD8f	Acyl-CoA dehydrogenase (octadecanoyl-CoA)	fad_c + stcoa_c <-> fadh2_c + od2coa_c
ACOATA	Acetyl-CoA ACP transacylase	ACP_c + accoa_c <-> acACP_c + coa_c
ACODA	Acetylornithine deacetylase	acorn_c + h2o_c <-> ac_c + orn_c
ACOLIPAabctex	Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)	atp_c + h2o_c + acolipa_p <-> adp_c + h_c + pi_c + acolipa_e
ACONIs	Aconitate isomerase (spontaneous)	acon_T_c <-> acon_C_c
ACONMT	Trans-aconitate methyltransferase	acon_T_c + amet_c <-> aconm_c + ahcys_c
ACOTA	Acetylornithine transaminase	acorn_c + akg_c <-> acg5sa_c + glu__L_c
ACPPAT141	Acyl-(acyl carrier protein):phosphate acyltransferase (C14:1)	h_c + pi_c + tdeACP_c <-> ACP_c + ttdceap_c
ACPPAT161	Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1)	h_c + hdeACP_c + pi_c <-> ACP_c + hdceap_c
ACPPAT180	Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0)	h_c + ocdcaACP_c + pi_c <-> ACP_c + ocdcap_c
ACSERtpp	O-Acetyl-L-serine export via facilitated transport	acser_c <-> acser_p
ACt2rpp	Acetate reversible transport via proton symport (periplasm)	ac_p + h_p <-> ac_c + h_c
ACtex	Acetate transport via diffusion (extracellular to periplasm)	ac_e <-> ac_p
ADCL	4-aminobenzoate synthase	4adcho_c <-> 4abz_c + h_c + pyr_c
ADCS	4-amino-4-deoxychorismate synthase	chor_c + gln__L_c <-> 4adcho_c + glu__L_c
ADD	Adenine deaminase	ade_c + h_c + h2o_c <-> hxan_c + nh4_c
ADEt2rpp	Adenine transport via proton symport (reversible) (periplasm)	ade_p + h_p <-> ade_c + h_c
ADEtex	Adenine transport via diffusion (extracellular to periplasm)	ade_e <-> ade_p
ADK3	Adentylate kinase (GTP)	amp_c + gtp_c <-> adp_c + gdp_c
ADNCYC	Adenylate cyclase	atp_c <-> camp_c + ppi_c
ADNK1	Adenosine kinase	adn_c + atp_c <-> adp_c + amp_c + h_c
ADNUC	Adenosine hydrolase	adn_c + h2o_c <-> ade_c + rib__D_c
ADNt2pp	Adenosine transport in via proton symport (periplasm)	adn_p + h_p <-> adn_c + h_c
ADOCBLS	Adenosylcobalamin 5'-phosphate synthase	agdpcbi_c + rdmbzi_c <-> adocbl_c + gmp_c + h_c
ADOCBLabcpp	Adenosylcobalamin transport via ABC system (periplasm)	atp_c + h2o_c + adocbl_p <-> adocbl_c + adp_c + h_c + pi_c
ADOCBLtonex	Adenosylcobalimin transport via ton system (extermal)	adocbl_e + h_p <-> h_c + adocbl_p
ADPT	Adenine phosphoribosyltransferase	ade_c + prpp_c <-> amp_c + ppi_c
ADSK	Adenylyl-sulfate kinase	aps_c + atp_c <-> adp_c + h_c + paps_c
ADSS	Adenylosuccinate synthase	asp__L_c + gtp_c + imp_c <-> dcamp_c + gdp_c + 2.0 h_c + pi_c
AGM3PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase	anhgm3p_c + h2o_c <-> LalaDgluMdap_c + anhgm_c
