KO_ID	KO_NAME	ALL_KO_NAMES
K00066	algD	algD|GDP-mannose 6-dehydrogenase [EC:1.1.1.132]|
K00067	rfbD, rmlD	rfbD, rmlD|dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]|
K00068	srlD	srlD|sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]|
K00069	HPGD	HPGD|15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]|
K00070	HSD3B	HSD3B|3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]|
K00071	HSD11B2	HSD11B2|corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]|
K00072	SPR	SPR|sepiapterin reductase [EC:1.1.1.153]|
K00073	allD	allD|ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]|
K00074	paaH, hbd, fadB, mmgB	paaH, hbd, fadB, mmgB|3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]|
K00075	murB	murB|UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]|
K00076	hdhA	hdhA|7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]|
K00077	panE, apbA	panE, apbA|2-dehydropantoate 2-reductase [EC:1.1.1.169]|
K00078	DHDH	DHDH|dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]|
K00079	CBR1	CBR1|carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]|
K00081	CBR2	CBR2|carbonyl reductase 2 [EC:1.1.1.184]|
K00082	ribD2	ribD2|5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]|
K00083	CAD	CAD|cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]|
K00084	CBR3	CBR3|carbonyl reductase 3 [EC:1.1.1.184]|
K00085	E1.1.1.200	E1.1.1.200|aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]|
K00086	dhaT	dhaT|1,3-propanediol dehydrogenase [EC:1.1.1.202]|
K00087	ygeS, xdhA	ygeS, xdhA|xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]|
K00088	IMPDH, guaB	IMPDH, guaB|IMP dehydrogenase [EC:1.1.1.205]|
K00089	AKR1C2	AKR1C2|3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]|
K00090	ghrB	ghrB|glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]|
K00091	E1.1.1.219	E1.1.1.219|dihydroflavonol-4-reductase [EC:1.1.1.219]|
K00093	mdh	mdh|methanol dehydrogenase [EC:1.1.1.244]|
K00094	E1.1.1.251, gatD	E1.1.1.251, gatD|galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]|
K00095	MTD	MTD|mannitol dehydrogenase [EC:1.1.1.255]|
K00096	araM, egsA	araM, egsA|glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]|
K00097	pdxA	pdxA|4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]|
K00098	idnD	idnD|L-idonate 5-dehydrogenase [EC:1.1.1.264]|
K00099	dxr	dxr|1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]|
K00100	bdhAB	bdhAB|butanol dehydrogenase [EC:1.1.1.-]|
K00101	lldD	lldD|L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]|
K00102	LDHD, dld	LDHD, dld|D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]|
K00103	GULO	GULO|L-gulonolactone oxidase [EC:1.1.3.8]|
K00104	glcD	glcD|glycolate oxidase [EC:1.1.3.15]|
K00105	E1.1.3.21	E1.1.3.21|alpha-glycerophosphate oxidase [EC:1.1.3.21]|
K00106	XDH	XDH|xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]|
K00107	ALO	ALO|D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]|
K00108	betA, CHDH	betA, CHDH|choline dehydrogenase [EC:1.1.99.1]|
K00109	L2HGDH	L2HGDH|2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]|
K00111	glpA, glpD	glpA, glpD|glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]|
K00112	glpB	glpB|glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]|
K00113	glpC	glpC|glycerol-3-phosphate dehydrogenase subunit C|
K00114	exaA	exaA|alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]|
K00115	GLD	GLD|glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]|
K00116	mqo	mqo|malate dehydrogenase (quinone) [EC:1.1.5.4]|
K00117	gcd	gcd|quinoprotein glucose dehydrogenase [EC:1.1.5.2]|
K00118	gfo	gfo|glucose-fructose oxidoreductase [EC:1.1.99.28]|
K00119	E1.1.99.36	E1.1.99.36|alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]|
K00120	fgd2	fgd2|F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]|
K00121	frmA, ADH5, adhC	frmA, ADH5, adhC|S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]|
K00122	FDH	FDH|formate dehydrogenase [EC:1.17.1.9]|
K00123	fdoG, fdhF, fdwA	fdoG, fdhF, fdwA|formate dehydrogenase major subunit [EC:1.17.1.9]|
K00124	fdoH, fdsB	fdoH, fdsB|formate dehydrogenase iron-sulfur subunit|
K00125	fdhB	fdhB|formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]|
K00126	fdsD	fdsD|formate dehydrogenase subunit delta [EC:1.17.1.9]|
K00127	fdoI, fdsG	fdoI, fdsG|formate dehydrogenase subunit gamma|
K00128	ALDH	ALDH|aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]|
K00129	E1.2.1.5	E1.2.1.5|aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]|
K00130	betB, gbsA	betB, gbsA|betaine-aldehyde dehydrogenase [EC:1.2.1.8]|
K00131	gapN	gapN|glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]|
K00132	E1.2.1.10	E1.2.1.10|acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]|
K00133	asd	asd|aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]|
K00134	GAPDH, gapA	GAPDH, gapA|glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]|
K00135	gabD	gabD|succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]|
K00137	prr	prr|aminobutyraldehyde dehydrogenase [EC:1.2.1.19]|
K00138	aldB	aldB|aldehyde dehydrogenase [EC:1.2.1.-]|
K00139	ALDH5A1	ALDH5A1|succinate-semialdehyde dehydrogenase [EC:1.2.1.24]|
K00140	mmsA, iolA, ALDH6A1	mmsA, iolA, ALDH6A1|malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]|
K00141	xylC	xylC|benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]|
K00142	AASDH	AASDH|acyl-CoA synthetase [EC:6.2.1.-]|
K00143	LYS2	LYS2|L-2-aminoadipate reductase [EC:1.2.1.95]|
K00145	argC	argC|N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]|
K00146	feaB	feaB|phenylacetaldehyde dehydrogenase [EC:1.2.1.39]|
K00147	proA	proA|glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]|
K00148	fdhA	fdhA|glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]|
K00149	ALDH9A1	ALDH9A1|aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]|
K00150	gap2	gap2|glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]|
K00151	hpaE, hpcC	hpaE, hpcC|5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]|
K00152	nahF	nahF|salicylaldehyde dehydrogenase [EC:1.2.1.65]|
K00153	E1.1.1.306	E1.1.1.306|S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]|
K00154	E1.2.1.68	E1.2.1.68|coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]|
K00155	LNAA, LNBA	LNAA, LNBA|L-tyrosine reductase [EC:1.2.1.101]|
K00156	poxB	poxB|pyruvate dehydrogenase (quinone) [EC:1.2.5.1]|
K00157	AOX	AOX|aldehyde oxidase [EC:1.2.3.1]|
K00158	E1.2.3.3, poxL	E1.2.3.3, poxL|pyruvate oxidase [EC:1.2.3.3]|
K00161	PDHA, pdhA	PDHA, pdhA|pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]|
K00162	PDHB, pdhB	PDHB, pdhB|pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]|
K00163	aceE	aceE|pyruvate dehydrogenase E1 component [EC:1.2.4.1]|
K00164	OGDH, sucA	OGDH, sucA|2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]|
K00166	BCKDHA, bkdA1	BCKDHA, bkdA1|2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]|
K00167	BCKDHB, bkdA2	BCKDHB, bkdA2|2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]|
K00169	porA	porA|pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]|
K00170	porB	porB|pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]|
K00171	porD	porD|pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]|
K00172	porC, porG	porC, porG|pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]|
K00174	korA, oorA, oforA	korA, oorA, oforA|2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]|
K00175	korB, oorB, oforB	korB, oorB, oforB|2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]|
K00176	korD, oorD	korD, oorD|2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]|
K00177	korC, oorC	korC, oorC|2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]|
K00179	iorA	iorA|indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]|
K00180	iorB	iorB|indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]|
K00181	PORCN	PORCN|O-palmitoleoyl transferase [EC:2.3.1.250]|
K00182	WNT2	WNT2|wingless-type MMTV integration site family, member 2|
K00184	dmsB	dmsB|dimethyl sulfoxide reductase iron-sulfur subunit|
K00185	dmsC	dmsC|dimethyl sulfoxide reductase membrane subunit|
K00186	vorA	vorA|2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]|
K00187	vorB	vorB|2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]|
K00188	vorD	vorD|2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]|
K00189	vorG, porG	vorG, porG|2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]|
K00192	cdhA	cdhA|anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]|
K00193	cdhC	cdhC|acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]|
K00194	cdhD, acsD	cdhD, acsD|acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]|
K00195	cdhB	cdhB|anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon|
K00196	cooF	cooF|anaerobic carbon-monoxide dehydrogenase iron sulfur subunit|
K00197	cdhE, acsC	cdhE, acsC|acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]|
K00198	cooS, acsA	cooS, acsA|anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]|
K00200	fwdA, fmdA	fwdA, fmdA|formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]|
K00201	fwdB, fmdB	fwdB, fmdB|formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]|
K00202	fwdC, fmdC	fwdC, fmdC|formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]|
K00203	fwdD, fmdD	fwdD, fmdD|formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]|
K00204	fwdH	fwdH|4Fe-4S ferredoxin|
K00205	fwdF, fmdF	fwdF, fmdF|4Fe-4S ferredoxin|
K00206	phnY	phnY|phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]|
K00207	DPYD	DPYD|dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]|
K00208	fabI	fabI|enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]|
K00209	fabV, ter	fabV, ter|enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]|
K00211	TYR1	TYR1|prephenate dehydrogenase (NADP+) [EC:1.3.1.13]|
K00212	AKR1C1	AKR1C1|20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]|
K00213	DHCR7	DHCR7|7-dehydrocholesterol reductase [EC:1.3.1.21]|
K00214	BLVRA, bvdR	BLVRA, bvdR|biliverdin reductase [EC:1.3.1.24]|
K00215	dapB	dapB|4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]|
K00216	entA	entA|2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]|
K00217	E1.3.1.32	E1.3.1.32|maleylacetate reductase [EC:1.3.1.32]|
K00218	por	por|protochlorophyllide reductase [EC:1.3.1.33]|
K00219	fadH	fadH|2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]|
K00220	tyrC	tyrC|cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]|
K00221	E4.99.1.2	E4.99.1.2|alkylmercury lyase [EC:4.99.1.2]|
K00222	TM7SF2, ERG24	TM7SF2, ERG24|Delta14-sterol reductase [EC:1.3.1.70]|
K00223	ERG4	ERG4|Delta24(24(1))-sterol reductase [EC:1.3.1.71]|
K00224	CEQORH	CEQORH|chloroplastic oxoene reductase [EC:1.3.1.-]|
K00225	GLDH	GLDH|L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]|
K00226	pyrD	pyrD|dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]|
K00227	SC5DL, ERG3	SC5DL, ERG3|Delta7-sterol 5-desaturase [EC:1.14.19.20]|
K00228	CPOX, hemF	CPOX, hemF|coproporphyrinogen III oxidase [EC:1.3.3.3]|
K00230	hemG	hemG|menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]|
K00231	PPOX, hemY	PPOX, hemY|protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]|
K00232	E1.3.3.6, ACOX1, ACOX3	E1.3.3.6, ACOX1, ACOX3|acyl-CoA oxidase [EC:1.3.3.6]|
K00234	SDHA, SDH1	SDHA, SDH1|succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]|
K00235	SDHB, SDH2	SDHB, SDH2|succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]|
K00236	SDHC, SDH3	SDHC, SDH3|succinate dehydrogenase (ubiquinone) cytochrome b560 subunit|
K00237	SDHD, SDH4	SDHD, SDH4|succinate dehydrogenase (ubiquinone) membrane anchor subunit|
K00239	sdhA, frdA	sdhA, frdA|succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]|
K00240	sdhB, frdB	sdhB, frdB|succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]|
K00241	sdhC, frdC	sdhC, frdC|succinate dehydrogenase / fumarate reductase, cytochrome b subunit|
K00242	sdhD, frdD	sdhD, frdD|succinate dehydrogenase / fumarate reductase, membrane anchor subunit|
K00243	K00243	K00243|uncharacterized protein|
K00244	frdA	frdA|fumarate reductase flavoprotein subunit [EC:1.3.5.4]|
K00245	frdB	frdB|fumarate reductase iron-sulfur subunit [EC:1.3.5.4]|
K00246	frdC	frdC|fumarate reductase subunit C|
K00247	frdD	frdD|fumarate reductase subunit D|
K00248	ACADS, bcd	ACADS, bcd|butyryl-CoA dehydrogenase [EC:1.3.8.1]|
K00249	ACADM, acd	ACADM, acd|acyl-CoA dehydrogenase [EC:1.3.8.7]|
K00251	AKR1D1	AKR1D1|3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]|
K00252	GCDH, gcdH	GCDH, gcdH|glutaryl-CoA dehydrogenase [EC:1.3.8.6]|
K00253	IVD, ivd	IVD, ivd|isovaleryl-CoA dehydrogenase [EC:1.3.8.4]|
K00254	DHODH, pyrD	DHODH, pyrD|dihydroorotate dehydrogenase [EC:1.3.5.2]|
K00255	ACADL	ACADL|long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]|
K00257	mbtN, fadE14	mbtN, fadE14|acyl-ACP dehydrogenase [EC:1.3.99.-]|
K00258	SWNR	SWNR|swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-]|
K00259	ald	ald|alanine dehydrogenase [EC:1.4.1.1]|
K00260	gudB, rocG	gudB, rocG|glutamate dehydrogenase [EC:1.4.1.2]|
K00261	GLUD1_2, gdhA	GLUD1_2, gdhA|glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]|
K00262	E1.4.1.4, gdhA	E1.4.1.4, gdhA|glutamate dehydrogenase (NADP+) [EC:1.4.1.4]|
K00263	E1.4.1.9	E1.4.1.9|leucine dehydrogenase [EC:1.4.1.9]|
K00264	GLT1	GLT1|glutamate synthase (NADH) [EC:1.4.1.14]|
K00265	gltB	gltB|glutamate synthase (NADPH) large chain [EC:1.4.1.13]|
K00266	gltD	gltD|glutamate synthase (NADPH) small chain [EC:1.4.1.13]|
K00270	pdh	pdh|phenylalanine dehydrogenase [EC:1.4.1.20]|
K00271	vdh	vdh|valine dehydrogenase (NAD+) [EC:1.4.1.23]|
K00272	DDO	DDO|D-aspartate oxidase [EC:1.4.3.1]|
K00273	DAO, aao	DAO, aao|D-amino-acid oxidase [EC:1.4.3.3]|
K00274	MAO, aofH	MAO, aofH|monoamine oxidase [EC:1.4.3.4]|
K00275	pdxH, PNPO	pdxH, PNPO|pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]|
K00276	AOC3, AOC2, tynA	AOC3, AOC2, tynA|primary-amine oxidase [EC:1.4.3.21]|
K00277	LOX	LOX|protein-lysine 6-oxidase [EC:1.4.3.13]|
K00278	nadB	nadB|L-aspartate oxidase [EC:1.4.3.16]|
K00279	CKX	CKX|cytokinin dehydrogenase [EC:1.5.99.12]|
K00280	LOXL2_3_4	LOXL2_3_4|lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]|
K00281	GLDC, gcvP	GLDC, gcvP|glycine dehydrogenase [EC:1.4.4.2]|
K00282	gcvPA	gcvPA|glycine dehydrogenase subunit 1 [EC:1.4.4.2]|
K00283	gcvPB	gcvPB|glycine dehydrogenase subunit 2 [EC:1.4.4.2]|
K00284	GLU, gltS	GLU, gltS|glutamate synthase (ferredoxin) [EC:1.4.7.1]|
K00285	dadA	dadA|D-amino-acid dehydrogenase [EC:1.4.5.1]|
K00286	proC	proC|pyrroline-5-carboxylate reductase [EC:1.5.1.2]|
K00287	DHFR, folA	DHFR, folA|dihydrofolate reductase [EC:1.5.1.3]|
K00288	MTHFD	MTHFD|methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]|
K00289	ALDH1L	ALDH1L|formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]|
K00290	LYS1	LYS1|saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]|
K00293	LYS9	LYS9|saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]|
K00294	E1.2.1.88	E1.2.1.88|1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]|
K00295	MTD1	MTD1|methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]|
K00296	E1.5.1.19	E1.5.1.19|D-nopaline dehydrogenase [EC:1.5.1.19]|
K00297	metF, MTHFR	metF, MTHFR|methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]|
K00298	ceo	ceo|N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]|
K00299	ssuE	ssuE|FMN reductase [EC:1.5.1.38]|
K00300	mtdA	mtdA|methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]|
K00301	E1.5.3.1	E1.5.3.1|sarcosine oxidase [EC:1.5.3.1]|
K00302	soxA	soxA|sarcosine oxidase, subunit alpha [EC:1.5.3.1]|
